163918645372308887,36742
620741658595224146,1970092
723492359641172834,349130
818877006463198736,24880020
1264744488939798088,2867856
1600633904360147460,9975150
1796652256451468602,2690963
1814189588814307776,7648
1965151371996418680,5486333
2175830371415049383,34913026
2401730748874927467,997515
2584657662098653454,30922966
2694765945307858403,6650
3143507805486077020,44888
3684449848581573439,2468850
4071545868996394636,49875751
4277298711855908797,49875751
4454381633636789149,9476393
4747512364439223888,49875751
4777958973882919649,14887912
4803826772380379922,528683
5095742298090230979,583546
5271441507933314159,7315
5430757907205901788,19925363
5491587494620055787,29856290
5622658764175897611,5320
5982846390354787993,4987575
6290807999797358345,5985
6785084810899231190,24912938
6878906112724074600,49875751
7017504655955743955,2724712
7085298282228890923,1482474
7446331133773682477,200999
7542917420413518667,1476156
7549995577397145669,498758
7577840883495855927,987540
7579216551136708118,16625250
8278234497743900807,5264386
8517842408878875334,15487585
8870453786186409991,2684479
9037328626462718729,14962725
9161949457233564608,34913026
9230759115816986914,5033128
9306550122583806885,2916900
9433259657262176905,49875751
9988839211066715803,4962637
10105875265190846103,170486123
10339765764359265796,8644631
10738613957974090819,22166945
10890046632913063215,6668388
11494237785755831723,233751
11541844302056663007,4987575
11706312660844961581,11083556
12101431510634235443,1845403
12186190861869148835,49876
12558748907112364526,3491
13138516747685979557,3491
13330279748251018740,9476
14274119416917666908,49876
14557384677985343260,6151
14748294830376619968,682633
14839596582718854826,49875751
15190676494543480574,482964
15253761794338766759,4988
15558257163011348529,49875751
15874940801139996458,4988
16516270647696160902,9144
17156841960446798306,503745
17228894143802851995,49875751
17240396975291969151,52370
17491178046969559641,29437998
18345202375028346230,585375
18388669820699395594,9975150
